generation,operator,NE,EHR,IR,cEHR,Δμ,Δσ,total_variants,elite_count,non_elite_count,rejections,duplicates
10.0,StylisticMutator,0.0,100.0,0.0,100.0,0.0531,0.057,2.0,2.0,0.0,0.0,0.0
10.0,TypographicalErrorsOperator,0.0,100.0,0.0,100.0,0.0635,0.0436,2.0,2.0,0.0,0.0,0.0
11.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,-0.0075,0.0,1.0,1.0,0.0,1.0,0.0
11.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
11.0,LLMBackTranslation_HI,0.0,50.0,50.0,100.0,0.009,0.0,1.0,1.0,0.0,1.0,0.0
11.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,0.0067,0.0,1.0,1.0,0.0,1.0,0.0
11.0,LLM_POSAwareSynonymReplacement,0.0,50.0,50.0,100.0,0.0109,0.0,1.0,1.0,0.0,1.0,0.0
11.0,MLM,0.0,50.0,50.0,100.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
11.0,NegationOperator,0.0,100.0,0.0,100.0,0.0138,0.0021,2.0,2.0,0.0,0.0,0.0
11.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,0.0034,0.0047,2.0,2.0,0.0,0.0,0.0
11.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
11.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
11.0,StylisticMutator,0.0,100.0,0.0,100.0,0.014,0.0052,2.0,2.0,0.0,0.0,0.0
11.0,TypographicalErrorsOperator,0.0,100.0,0.0,100.0,0.0047,0.0042,2.0,2.0,0.0,0.0,0.0
12.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
12.0,InformedEvolutionOperator,0.0,33.33,66.67,100.0,-0.0071,0.0,1.0,1.0,0.0,2.0,0.0
12.0,LLMBackTranslation_HI,0.0,33.33,66.67,100.0,-0.2419,0.0,1.0,1.0,0.0,2.0,0.0
12.0,LLMBasedParaphrasing,0.0,66.67,33.33,100.0,-0.0167,0.0117,2.0,2.0,0.0,1.0,0.0
12.0,LLM_POSAwareSynonymReplacement,0.0,33.33,66.67,100.0,0.0155,0.0,1.0,1.0,0.0,2.0,0.0
12.0,MLM,0.0,33.33,66.67,100.0,0.0175,0.0,1.0,1.0,0.0,2.0,0.0
12.0,NegationOperator,0.0,66.67,33.33,100.0,-0.1709,0.2615,2.0,2.0,0.0,1.0,0.0
12.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,-0.0785,0.1159,3.0,3.0,0.0,0.0,0.0
12.0,SemanticFusionCrossover,0.0,33.33,66.67,100.0,-0.1868,0.0,1.0,1.0,0.0,2.0,0.0
12.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0
12.0,StylisticMutator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
12.0,TypographicalErrorsOperator,0.0,66.67,33.33,100.0,-0.0031,0.0006,2.0,2.0,0.0,1.0,0.0
13.0,ConceptAdditionOperator,0.0,66.67,33.33,100.0,-0.073,0.2021,2.0,2.0,0.0,1.0,0.0
13.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
13.0,LLMBackTranslation_HI,0.0,66.67,33.33,100.0,-0.0098,0.0018,2.0,2.0,0.0,1.0,0.0
13.0,LLMBasedParaphrasing,0.0,66.67,33.33,100.0,-0.0032,0.0811,2.0,2.0,0.0,1.0,0.0
13.0,LLM_POSAwareSynonymReplacement,0.0,66.67,33.33,100.0,-0.1366,0.1961,2.0,2.0,0.0,1.0,0.0
13.0,MLM,0.0,0.0,66.67,0.0,,,0.0,0.0,0.0,2.0,1.0
13.0,NegationOperator,0.0,33.33,66.67,100.0,-0.0124,0.0,1.0,1.0,0.0,2.0,0.0
13.0,POSAwareAntonymReplacement,0.0,33.33,66.67,100.0,-0.0164,0.0,1.0,1.0,0.0,2.0,0.0
13.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
13.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0
13.0,StylisticMutator,0.0,33.33,66.67,100.0,-0.3306,0.0,1.0,1.0,0.0,2.0,0.0
13.0,TypographicalErrorsOperator,0.0,33.33,66.67,100.0,-0.0194,0.0,1.0,1.0,0.0,2.0,0.0
14.0,ConceptAdditionOperator,0.0,100.0,0.0,100.0,-0.0961,0.1326,3.0,3.0,0.0,0.0,0.0
14.0,InformedEvolutionOperator,0.0,66.67,33.33,100.0,-0.1328,0.1527,2.0,2.0,0.0,1.0,0.0
14.0,LLMBackTranslation_HI,0.0,33.33,66.67,100.0,-0.0312,0.0,1.0,1.0,0.0,2.0,0.0
14.0,LLMBasedParaphrasing,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
14.0,LLM_POSAwareSynonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
14.0,MLM,0.0,33.33,66.67,100.0,-0.0507,0.0,1.0,1.0,0.0,2.0,0.0
14.0,NegationOperator,0.0,66.67,33.33,100.0,-0.197,0.2068,2.0,2.0,0.0,1.0,0.0
14.0,POSAwareAntonymReplacement,0.0,33.33,66.67,100.0,-0.0268,0.0,1.0,1.0,0.0,2.0,0.0
14.0,SemanticFusionCrossover,0.0,66.67,33.33,100.0,-0.0892,0.1713,2.0,2.0,0.0,1.0,0.0
14.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0
14.0,StylisticMutator,0.0,33.33,66.67,100.0,-0.3568,0.0,1.0,1.0,0.0,2.0,0.0
14.0,TypographicalErrorsOperator,0.0,33.33,66.67,100.0,-0.0453,0.0,1.0,1.0,0.0,2.0,0.0
15.0,ConceptAdditionOperator,0.0,33.33,66.67,100.0,-0.2822,0.0,1.0,1.0,0.0,2.0,0.0
15.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
15.0,LLMBackTranslation_HI,0.0,33.33,66.67,100.0,-0.0197,0.0,1.0,1.0,0.0,2.0,0.0
